Proben-ID;Anlagennummer;Probe aus;Ölmenge im System;Dimension;Ölbezeichnung;Datum Probenentnahme;Datum letzter Ölwechsel;Nachfüllmenge seit Wechsel;Dimension;Laufzeit seit Wechsel;Dimension;Laufzeit gesamt;Dimension;Wasser K. F.;Dimension
1728946;384340;WEA-Hauptgetriebe;305;;Mobil Mobilgear XMP 320;2013-04-17;2011-03-02;;;;;77562;h;31;ppm
1725419;672135;Wind turbine - main gear;310;;Mobil Mobilgear XMP 320;2013-04-04;;;;29106;h;29106;h;36;ppm
2037637;717899;Wind turbine - main gear;470;;Mobil Mobilgear XMP 320;2014-10-13;2013-05-10;;;;;;;39;ppm
2049064;726493;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-11-04;2014-05-22;;;;;;;39;ppm
1987539;634990;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-07-24;;;;12263000;kWh;12727;;41;ppm
1862880;446931;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;;2006-12-06;;;;;;;42;ppm
2018189;132700;WKA-Hauptgetriebe;310;;Mobil Mobilgear XMP 320;2014-09-15;2011-07-11;;;;;;;51;ppm
2044305;549070;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-10-21;2013-04-30;;;;;;;56;ppm
2091446;392025;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2015-01-06;2013-05-02;;;40177000;kWh;40543;;56;ppm
2037612;474031;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-10-13;2013-05-08;;;;;;;57;ppm
1920463;644880;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-03-21;;;;14686;h;14686;h;58;ppm
2018966;328273;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-30;2013-10-23;;;;;;;60;ppm
1995442;634988;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-08-08;;;;14630000;kWh;13154;;60;ppm
1829947;210035;Wind turbine - main gear;210;l;Mobil Mobilgear XMP 320;2013-10-07;2009-02-16;;l;8325058;kWh;8325058;kWh;61;ppm
2091444;392012;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2015-01-06;2013-05-05;;;41720000;kWh;40869;;61;ppm
1868860;336324;WKA-Hauptgetriebe;500;;Mobil Mobilgear XMP 320;2013-12-13;2013-04-17;;;;;;;62;ppm
1995441;638019;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-08-08;;;;13891000;kWh;13276;;62;ppm
1927457;672135;Wind turbine - main gear;310;;Mobil Mobilgear XMP 320;2014-04-01;;;;37800;h;37800;h;62;ppm
