Proben-ID;Anlagennummer;Probe aus;Ölmenge im System;Dimension;Ölbezeichnung;Datum Probenentnahme;Datum letzter Ölwechsel;Nachfüllmenge seit Wechsel;Dimension;Laufzeit seit Wechsel;Dimension;Laufzeit gesamt;Dimension;Wasser K. F.;
1971224;99742;WKA-Hauptgetriebe;400;;Addinol Eco Gear 320 S;2014-06-18;;;;;;141914;h;239;ppm
2055871;99742;WKA-Hauptgetriebe;250;;Addinol Eco Gear 320 S;2014-11-11;;;;;;;;260;ppm
1884209;99742;WKA-Hauptgetriebe;400;;Addinol Eco Gear 320 S;2013-12-13;;;;;;138658;h;318;ppm
1727631;110524;WKA-Hauptgetriebe;120;l;Addinol Eco Gear 320 S;2013-04-04;2013-04-04;120;l;;;105877;h;95;ppm
1872539;110524;WKA-Hauptgetriebe;75;;Addinol Eco Gear 320 S;2013-12-12;2013-04-04;;;;;111695;kWh;145;ppm
1923429;110524;WKA-Hauptgetriebe;75;;Addinol Eco Gear 320 S;2014-03-26;2013-04-04;;;;;757622;kWh;163;ppm
2014395;110524;WKA-Hauptgetriebe;75;;Addinol Eco Gear 320 S;2014-09-09;2013-04-04;;;;;118089;h;204;ppm
1820679;110524;WKA-Hauptgetriebe;75;;Addinol Eco Gear 320 S;2013-08-15;2013-04-04;;;;;108931;h;259;ppm
1896541;110525;WKA-Hauptgetriebe;75;;Addinol Eco Gear 320 S;2014-02-03;;;;;;4246;h;94;ppm
1923439;110525;WKA-Hauptgetriebe;75;;Addinol Eco Gear 320 S;2014-03-27;2013-08-06;;;;;5457;h;100;ppm
2014391;110525;WKA-Hauptgetriebe;75;l;Addinol Eco Gear 320 S;2014-09-07;2013-08-06;45;l;;;116783;h;178;ppm
1820684;110525;WKA-Hauptgetriebe;75;;Addinol Eco Gear 320 S;2013-08-16;2013-08-06;;;;;107694;h;294;ppm
1727716;110526;WKA-Hauptgetriebe;120;l;Addinol Eco Gear 320 S;2013-04-03;2013-04-03;120;l;;;99833;h;88;ppm
1923437;110526;WKA-Hauptgetriebe;75;;Addinol Eco Gear 320 S;2014-03-28;2013-04-03;;;;;8391;h;122;ppm
1872655;110526;WKA-Hauptgetriebe;75;;Addinol Eco Gear 320 S;2013-12-13;2013-04-03;;;;;105716;h;178;ppm
2014396;110526;WKA-Hauptgetriebe;75;;Addinol Eco Gear 320 S;2014-09-06;2013-04-03;;;;;112017;h;313;ppm
1820683;110526;WKA-Hauptgetriebe;75;;Addinol Eco Gear 320 S;2013-08-15;2013-04-03;;;;;102879;h;332;ppm
1727637;110527;WKA-Hauptgetriebe;81;l;Addinol Eco Gear 320 S;2013-04-04;2013-04-04;81;l;;;102707;h;125;ppm
1896534;110527;WKA-Hauptgetriebe;75;;Addinol Eco Gear 320 S;2014-02-02;2013-04-04;;;;;7065;h;161;ppm
1923436;110527;WKA-Hauptgetriebe;90;;Addinol Eco Gear 320 S;2014-03-29;2013-04-04;;;;;10883;h;178;ppm
1820689;110527;WKA-Hauptgetriebe;75;;Addinol Eco Gear 320 S;2013-08-17;2013-04-04;;;;;105756;;330;ppm
2014392;110527;WKA-Hauptgetriebe;90;;Addinol Eco Gear 320 S;2014-09-05;2013-04-04;;;;;114782;h;330;ppm
